stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,import_id,city_name,ext_siri1_id,ext_stop_headsigns,stop_code_insee
place_URON,,Ur Onea,Bidart - Ur Onea,43.43367800,-1.59067150,,,1,,2,,Bidart,,,64125
place_EMAT,,Urrizburu,Saint-Pierre-d'Irube - Urrizburu,43.47012850,-1.44628500,,,1,,2,,Saint-Pierre-d'Irube,,,64496
place_OURO,,Urruzpuru,Saint-Pierre-d'Irube - Urruzpuru,43.46908200,-1.44589450,,,1,,2,,Saint-Pierre-d'Irube,,,64496
place_URUB,,Urubeyti,Anglet - Urubeyti,43.46337850,-1.52060200,,,1,,2,,Anglet,,,64024
place_VALL,,Vallons,Bayonne - Vallons,43.47838000,-1.49390900,,,1,,2,,Bayonne,,,64102
place_VRDU,,Verdun,Biarritz - Verdun,43.48199600,-1.55809300,,,1,,2,,Biarritz,,,64122
place_VERL,,Verlaine,Biarritz - Verlaine,43.48811700,-1.55093800,,,1,,2,,Biarritz,,,64122
place_VIAD,,Viaduc Gare de Biarritz,Biarritz - Viaduc Gare de Biarritz,43.46073100,-1.54701100,,,1,,2,,Biarritz,,,64122
place_HGOB,,Victor Hugo,Biarritz - Victor Hugo,43.48008100,-1.56185900,,,1,,2,,Biarritz,,,64122
place_VIGO,,Vigo,Boucau - Vigo,43.51832800,-1.47799500,,,1,,2,,Boucau,,,64140
place_VILL,,Villa Pia,Bayonne - Villa Pia,43.48501750,-1.49491700,,,1,,2,,Bayonne,,,64102
place_VBOU,,Villefranque Bourg,Villefranque - Villefranque Bourg,43.43760100,-1.45341600,,,1,,2,,Villefranque,,,64558
place_VECL,,Villefranque Ecole,Villefranque - Villefranque Ecole,43.43590600,-1.45323400,,,1,,2,,Villefranque,,,64558
place_VEGL,,Villefranque Eglise,Villefranque - Villefranque Eglise,43.43684900,-1.44949700,,,1,,2,,Villefranque,,,64558
place_VOLT,,Voltaire,Biarritz - Voltaire,43.47552700,-1.55014800,,,1,,2,,Biarritz,,,64122
place_XOKO,,Xoko Tiki,Bassussarry - Xoko Tiki,43.43836300,-1.50454900,,,1,,2,,Bassussarry,,,64100
place_ZAAM,,Z.A. Ambroise,Saint-Martin-de-Seignanx - Z.A. Ambroise,43.52451700,-1.41098100,,,1,,2,,Saint-Martin-de-Seignanx,,,40273
place_ZABA,,Z.A. Bassilour,Bidart - Z.A. Bassilour,43.43127400,-1.57100000,,,1,,2,,Bidart,,,64125
place_CHPT,,Z.A. Biarritz,Biarritz - Z.A. Biarritz,43.46440350,-1.54245400,,,1,,2,,Biarritz,,,64122
place_ZAIR,,Z.A. Iraty,Biarritz - Z.A. Iraty,43.46301900,-1.53931300,,,1,,2,,Biarritz,,,64122
place_ZADI,,Zaldizka,Saint-Pierre-d'Irube - Zaldizka,43.46911800,-1.44475950,,,1,,2,,Saint-Pierre-d'Irube,,,64496
place_QUIE,,Zelaia,Saint-Pierre-d'Irube - Zelaia,43.47756950,-1.45770250,,,1,,2,,Saint-Pierre-d'Irube,,,64496
NOVE01,NOVE01,11 Novembre,Tarnos - 11 Novembre,43.53877400,-1.45227200,,,0,place_NOVE,2,NOVE01,Tarnos,NOVE01,Direction ~ Norabidea: Tarnos Castillon,40312
NOVE02,NOVE02,11 Novembre,Tarnos - 11 Novembre,43.53887300,-1.45219300,,,0,place_NOVE,2,NOVE02,Tarnos,NOVE02,Direction ~ Norabidea: Tarnos Grimau / La Baye,40312
AVRI01,AVRI01,14 Avril,Bayonne - 14 Avril,43.50221400,-1.46199900,,,0,place_AVRI,2,AVRI01,Bayonne,AVRI01,Direction ~ Norabidea: Biarritz Aéroport/Bidart Izarbel,64102
AVRI02,AVRI02,14 Avril,Bayonne - 14 Avril,43.50266100,-1.46264300,,,0,place_AVRI,2,AVRI02,Bayonne,AVRI02,Direction ~ Norabidea: Bayonne Sainsontan,64102
JUIN02,JUIN02,18 Juin,Biarritz - 18 Juin,43.48565200,-1.54723100,,,0,place_JUIN,2,JUIN02,Biarritz,JUIN02,Direction ~ Norabidea: Biarritz Hippodrome / Biarritz Polyclinique,64122
PETC01,PETC01,4 Vents,Boucau - 4 Vents,43.53229600,-1.47705700,,,0,place_PETC,2,PETC01,Boucau,PETC01,Direction ~ Norabidea: Bayonne Lauga/Cassin/Marrac,64140
PETC02,PETC02,4 Vents,Boucau - 4 Vents,43.53207300,-1.47692200,,,0,place_PETC,2,PETC02,Boucau,PETC02,Direction ~ Norabidea: Tarnos La Plaine,64140
7PUI01,7PUI01,7 Puits,Anglet - 7 Puits,43.47201300,-1.52670000,,,0,place_7PUI,2,7PUI01,Anglet,7PUI01,Direction ~ Norabidea: Biarritz Cité Scolaire,64024
7PUI02,7PUI02,7 Puits,Anglet - 7 Puits,43.47151400,-1.52669200,,,0,place_7PUI,2,7PUI02,Anglet,7PUI02,Direction ~ Norabidea: Anglet Redon/La Barre,64024
NOST11,NOST11,A Noste,Boucau - A Noste,43.52805200,-1.47378600,,,0,place_NOST,2,NOST11,Boucau,NOST11,Direction ~ Norabidea: Tarnos Square Mora,64140
NOST12,NOST12,A Noste,Boucau - A Noste,43.52792800,-1.47369300,,,0,place_NOST,2,NOST12,Boucau,NOST12,Direction ~ Norabidea: Boucau La Pinède,64140
CRZA01,CRZA01,A. Croizat,Tarnos - A. Croizat,43.53499800,-1.49059200,,,0,place_CRZA,2,CRZA01,Tarnos,CRZA01,Direction ~ Norabidea: Tarnos Grimau / La Baye,40312
CRZA02,CRZA02,A. Croizat,Tarnos - A. Croizat,43.53537500,-1.49032700,,,0,place_CRZA,2,CRZA02,Tarnos,CRZA02,Direction ~ Norabidea: Tarnos Castillon,40312
ABB01,ABB01,Abbé Cestac,Anglet - Abbé Cestac,43.50200200,-1.52355100,,,0,place_ABB,2,ABB01,Anglet,ABB01,Direction ~ Norabidea: Anglet Chambre d'Amour,64024
ABB02,ABB02,Abbé Cestac,Anglet - Abbé Cestac,43.50195400,-1.52429700,,,0,place_ABB,2,ABB02,Anglet,ABB02,Direction ~ Norabidea: Bayonne Hauts de Bayonne,64024
