stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,city_name,direction_id,ext_oldid,ext_zenbus_id
AYBO01,,Bourg,Bourg - Ayherre,43.39198820,-1.25473890,,,0,place_AYBO,0,Ayherre,0,10157,AYBO01
AYBO02,,Bourg,Bourg - Ayherre,43.39195020,-1.25475100,,,0,place_AYBO,0,Ayherre,1,10156,AYBO02
BABO02,,Bourg,Bourg - La Bastide-Clairence,43.42776822,-1.25711475,,,0,place_BABO,0,La Bastide-Clairence,,26214_1,BABO02
BRBO01,,Bourg,Bourg - Briscous,43.46082100,-1.33317500,,,0,place_BRBO,0,Briscous,0,18080_1,BRBO01
BRBO02,,Bourg,Bourg - Briscous,43.46074900,-1.33321800,,,0,place_BRBO,0,Briscous,1,18080_2,BRBO02
CHBO01,,Bourg,Bourg - Charritte-de-Bas,43.29349900,-0.88201500,,,0,place_CHBO,0,Charritte-de-Bas,0,16173_1,CHBO01
CHBO02,,Bourg,Bourg - Charritte-de-Bas,43.29328200,-0.88183600,,,0,place_CHBO,0,Charritte-de-Bas,1,16173_2,CHBO02
GUBO01,,Bourg,Bourg - Guiche,43.51235995,-1.20340447,,,0,place_GUBO,0,Guiche,0,20465240_1,GUBO01
GUBO02,,Bourg,Bourg - Guiche,43.51237503,-1.20356541,,,0,place_GUBO,0,Guiche,1,20465240_2,GUBO02
HEBO01,,Bourg,Bourg - Hélette,43.30670330,-1.24396710,,,0,place_HEBO,0,Hélette,,10162,HEBO01
IHBO01,,Bourg,Bourg - Iholdy,43.28160940,-1.18088790,,,0,place_IHBO,0,Iholdy,,10165,IHBO01
SABU01,,Bourg,Bourg - Sauguis-Saint-Étienne,43.15150000,-0.89030000,,,0,place_SABU,0,Sauguis-Saint-Étienne,0,15690_1,SABU01
SABU02,,Bourg,Bourg - Sauguis-Saint-Étienne,43.15145300,-0.89043700,,,0,place_SABU,0,Sauguis-Saint-Étienne,1,15690_2,SABU02
SOBO01,,Bourg,Souraïde - Bourg,43.34078029,-1.47419357,,,0,place_SOBO,0,Souraïde,0,,SOBO01
